autor=kaelwu
home=-27.4,2257.0,123.1
Def=31.7,2245.5,126.7
Att=-88.8,2264.80005,124.9
Obszar=60.4,2289.5,-103,2219.80005
interior=0
Granat=1
Object=18367,5.8,2250.6001,122.1,5,0,259.25
Object=18367,-62.6,2262.30005,118.6,0,0,81.245
Object=18262,-27.4,2257,123.1,0,0,258
Object=18246,35.2,2242.30005,126.7,0,0,176
Object=18246,35.19922,2242.2998,126.7,0,0,175.995
Object=3594,28.2,2229.5,125.8,0,0,0
Object=3594,12,2238.30005,125.3,0,0,0
Object=3594,30.5,2261.8999,124.2,0,0,0
Object=3594,27.4,2218.30005,123.4,0,0,0
Object=3006,27,2251.8999,125.4,0,0,0
Object=3006,39.3,2243.5,125.3,0,0,0
Object=3006,19.1,2244.8999,125.7,0,0,0
Object=3006,30.5,2240.80005,125.7,0,0,0
Object=3006,22.8,2235.80005,125.7,0,0,0
Object=3006,16.5,2224.19995,124.1,0,0,0
Object=3006,40.4,2228.80005,124.5,0,0,0
Object=3006,40.4,2264.8999,122.4,0,0,0
Object=3006,-79.7,2275,123.5,0,0,0
Object=3006,-84.9,2260,124.1,0,0,0
Object=3006,-93.9,2275.80005,121.7,0,0,0
Object=3006,-87.4,2286.6001,119.5,0,0,0
Object=3006,-97,2288.8999,118.3,0,0,0
Object=3006,-104,2271.80005,120.1,0,0,0
Object=3006,-97.8,2255.80005,120.7,0,0,0
Object=3006,-90.3,2249.1001,120.1,0,0,0
Object=3006,-103.2,2253,120.8,0,0,0
Object=3006,-77.8,2248.8999,121.2,0,0,0
Object=2890,-89.3,2256.1001,123.2,0,0,160
Object=2890,35.1,2236.8999,125.7,0,0,0
Object=12957,-86.6,2280,122,0,0,0
Object=1452,-93.9,2279.8999,122.6,0,0,0
Object=1452,-93.89941,2279.89941,122.6,0,0,0
Object=1452,48.1,2260.1001,123.8,0,0,0
