autor=kaelwu
home=-213.5,-34.5,15.1
Def=-228.7,-52.7,3.1
Att=-209.3,39.1,3.1
Obszar=-124.1,29.6,-274.89999,-63.4
interior=0
Granat=1
Object=12861,-260.5,-61.6,2.1,0,0,342
Object=12861,-174.39999,-93,2.1,0,0,339.999
Object=12861,-235.39999,63.2,1.5,0,0,161.999
Object=12861,-137.7,28.8,2.1,0,0,159.993
Object=12859,-234,-68.1,2.1,0,0,70
Object=12859,-207.89999,-77.7,2.1,0,0,69.999
Object=12859,-193.3,-86.8,2.9,0,0,339.999
Object=12859,-257.10001,-32.8,1.5,0,0,341.994
Object=12859,-249,-6.1,1.7,0,0,342
Object=12859,-240.3,20.2,1.8,0,0,341.999
Object=12859,-216.10001,54,2.1,0,0,249.999
Object=12859,-189.8,44.4,2.1,0,0,249.994
Object=12859,-163.7,35.2,2.1,0,0,249.994
Object=12859,-143.3,2.4,2,0,0,159.994
Object=12859,-162.8,-49.9,2.3,0,0,159.988
Object=12859,-168.60001,-66,2,0,0,159.988
Object=12859,-152.8,-23.6,2.1,0,0,159.988
Object=12860,-171.3,-14.7,2.1,0,0,338
Object=12861,-199.7,25,2.1,0,0,70
Object=12861,-216.89999,-30,2.1,0,0,70
Object=3073,-158.8,-17.1,3.8,0,0,162
Object=3073,-212.60001,-43.2,3.8,0,0,161.999
Object=3073,-216.89999,4.2,6.5,0,0,161.999
Object=3073,-220.60001,34.2,3.8,0,0,161.999
Object=3633,-164,-0.1,2.6,0,0,0
Object=3633,-193.5,32.8,2.6,0,0,0
Object=3633,-211.60001,-7.6,2.6,0,0,0
Object=3633,-227,6.3,2.6,0,0,0
Object=3633,-239.10001,-43,2.6,0,0,0
Object=3633,-211.39999,-62.3,2.6,0,0,0
Object=3633,-181.2,15.5,2.6,0,0,0
Object=3574,-165.2,13.1,4.8,0,0,340
Object=3574,-226.2,-7,4.8,0,0,339.999
Object=3569,-267,-44.4,7.8,0,0,342
Object=3569,-239.7,50,7.2,0,0,342
Object=3569,-131.10001,12.1,7.3,0,0,340
Object=2985,-169.60001,37.7,10.1,0,0,248
Object=362,-201,-62.3,2.4,0,0,0
